Ship-to ID,Visit_Count,Purchase_Count
29004431,71,58
29004431,38,42
29004431,43,43
29004431,57,25
29004431,76,92
29004431,92,32
29004431,61,68
29004431,97,100
29004435,7,10
29004435,54,43
29004435,45,97
29004435,57,27
29004435,94,19
29004435,39,81
29004435,48,36
29004435,11,74
29004435,76,96
29004435,80,77
29004435,50,86
29004435,93,23
29004435,27,62
29004435,82,10
29004435,98,88
29004444,57,10
29004444,45,79
29004444,100,45
29004444,84,5
29004444,69,13
29004444,43,74
29004444,61,73
29004444,63,61
29004444,24,0
29004444,20,88
29004444,1,3
29004444,26,14
29004451,16,52
29004451,45,86
29004470,97,34
29004470,74,33
29004470,57,77
29004470,9,72
29004470,86,54
29004470,94,3
29004470,36,25
29004470,63,68
29004470,12,2
29004475,84,88
29004475,78,89
29004475,46,82
29004475,97,48
29004475,67,55
29004475,78,100
29004475,63,74
29004475,86,88
29004475,50,44
29004475,64,66
29004475,62,17
29004487,34,74
29004487,32,87
29004487,29,16
29004495,61,81
29004495,12,30
29004495,14,69
29004495,75,93
29004495,78,90
29004495,64,22
29004496,18,40
29004496,77,93
29004496,20,32
29004496,41,43
29004496,71,98
29004496,75,100
29004496,63,45
29004496,66,85
29004496,58,50
29004496,47,23
29004496,56,50
29004496,29,62
29004496,68,11
29004496,51,99
29004497,89,57
29004497,17,0
29004497,98,98
29004497,87,12
29004497,27,20
29004497,47,41
29004497,27,100
29004497,75,25
29004497,46,72
29004497,57,3
29004497,85,82
29004497,53,41
29004497,7,11
29004497,26,90
29004497,6,21
29004497,32,16
29004497,35,6
29004497,5,14
29004497,71,44
29004497,45,7
29004539,25,55
29004539,25,7
29004539,62,69
29004539,85,31
29004539,12,66
29004539,50,30
29004589,80,19
29004589,72,36
29004589,97,18
29004589,69,45
29004591,97,1
29004591,82,28
29004591,70,90
29004591,36,98
29004591,3,53
29004593,6,45
29004593,74,90
29004593,29,12
29004593,52,41
29004593,79,97
29004651,78,90
29004776,40,63
29004776,76,38
29004776,23,50
29004776,33,63
29004776,100,57
29004776,69,78
29004776,29,42
29004785,68,50
29004785,59,40
29004785,40,82
29004785,34,48
29004785,53,15
29004785,13,93
29004785,7,57
29004785,7,17
29004785,65,25
29004785,60,31
29004787,50,68
29004787,38,94
29004787,5,50
29004787,32,55
29004787,51,97
29004787,67,68
29004787,37,86
29004787,40,11
29004787,75,90
29004787,36,66
29004787,42,79
29004787,4,64
29004787,47,58
29004787,51,92
29004787,97,43
29004799,76,28
29004799,3,52
29004799,51,86
29004799,94,31
29004799,66,82
29004799,56,19
29004799,88,33
29004799,72,76
29004799,75,62
29004799,3,81
29004799,76,34
29004799,41,59
29004799,29,23
29004799,53,13
29004799,37,68
29004799,68,25
29004799,44,17
29004799,65,95
29004799,85,5
29004799,82,51
29004799,6,66
29004799,99,32
29004799,79,12
29004799,11,48
29004810,1,54
29004810,31,33
29004810,85,34
29004810,68,83
29004810,94,96
29004810,64,36
29004810,36,0
29004810,95,3
29004810,80,71
29004810,66,54
29004810,50,82
29004810,26,30
29004810,19,31
29004810,72,66
29004810,81,49
29004866,100,60
29004866,96,76
29004866,19,19
29004866,97,1
29004866,99,1
29004866,35,94
29004866,4,65
29004866,68,90
29004909,40,99
29004909,26,50
29004909,89,56
29004909,70,79
29004909,2,99
29004909,72,63
29004909,7,4
29004909,74,14
29004963,59,44
29004963,65,92
29004963,15,18
29004963,62,65
29004969,49,34
29004969,71,25
29004992,53,2
29004992,91,3
29004992,24,11
29004992,58,79
29004992,81,71
29004992,63,28
29004992,53,100
29004992,28,55
29004992,88,38
29004992,66,79
29004992,42,5
29004999,61,38
29004999,9,7
29004999,46,12
29004999,63,15
29004999,52,10
29004999,88,44
29004999,52,33
29005053,94,34
29005053,55,70
29005053,91,97
29005053,47,5
29005053,72,5
29005053,71,13
29005053,97,76
29005053,58,36
29005053,59,30
29005053,41,1
29005080,15,22
29005080,25,7
29005108,61,92
29005108,60,57
29005114,79,85
29005114,16,29
29005114,41,91
29005114,39,4
29005114,86,26
29005114,97,21
29005114,26,95
29005114,52,78
29005114,54,9
29005114,3,58
29005114,40,87
29005114,22,42
29005156,89,100
29005156,88,49
29005156,68,69
29005156,79,55
29005156,4,9
29005156,2,42
29005156,79,13
29005156,96,99
29005156,34,58
29005156,61,5
29005156,64,28
29005156,19,27
29005156,45,97
29005156,71,81
29005156,38,3
29005156,66,87
29005160,61,37
29005160,76,97
29005160,51,90
29005160,72,59
29005160,99,13
29005160,25,59
29005160,26,73
29005160,50,25
29005160,27,68
29005160,71,45
29005160,87,43
29005160,90,63
29005160,39,74
29005160,51,67
29005160,81,0
29005160,3,23
29005235,76,45
29005235,65,3
29005235,100,89
29005237,3,41
29005237,48,78
29005237,80,23
29005237,7,40
29005237,72,21
29005237,59,28
29005237,15,13
29005237,63,15
29005237,61,67
29005237,82,51
29005237,21,2
29005237,57,74
29005237,59,12
29005237,4,17
29005237,5,80
29005237,35,66
29005278,94,41
29005278,17,62
29005278,88,26
29005278,80,53
29005278,55,65
29005278,18,73
29005278,95,40
29005278,88,79
29005278,18,20
29005278,55,81
29005278,95,44
29005278,57,81
29005278,39,66
29005278,46,35
29005278,53,53
29005278,55,21
29005278,10,92
29005278,70,44
29005278,36,52
29005278,40,47
29005278,92,10
29005278,4,51
29005278,94,67
29005345,41,54
29005345,7,0
29005345,27,78
29005345,78,60
29005345,98,70
29005345,34,0
29005345,38,25
29005345,77,28
29005345,45,45
29005345,85,16
29005345,51,43
29005345,60,82
29005345,46,21
29005345,9,10
29005345,32,50
29005345,64,63
29005345,55,43
29005345,94,28
29005345,13,75
29005345,46,0
29005345,61,33
29005345,37,2
29005345,24,41
29005345,36,29
29005345,59,92
29005388,6,17
29005388,96,80
29005388,1,10
29005388,77,54
29005388,57,74
29005388,2,96
29005388,53,55
29005388,45,43
29005388,41,62
29005388,32,87
29005388,36,64
29005425,16,97
29005425,30,32
29005440,9,77
29005440,52,89
29005440,28,15
29005440,20,46
29005440,21,62
29005440,24,30
29005440,7,19
29005440,82,30
29005440,25,21
29005440,93,82
29005440,60,8
29005440,16,100
29005440,72,91
29005440,60,53
29005440,97,24
29005440,63,2
29005526,88,68
29005526,26,61
29005526,89,63
29005534,26,28
29005534,50,16
29005534,84,27
29005534,18,27
29005534,45,47
29005534,62,38
29005534,64,67
29005534,95,16
29005534,6,64
29005534,90,100
29005534,82,6
29005534,87,71
29005534,90,84
29005534,60,12
29005534,86,39
29005534,26,54
29005534,19,89
29005534,37,44
29005534,57,98
29005534,38,42
29005534,57,70
29005534,74,3
29005534,44,27
29005534,28,47
29005534,93,27
29005534,9,83
29005558,52,1
29005559,45,33
29005559,26,25
29005559,24,98
29005586,71,11
29005586,70,70
29005586,87,44
29005586,59,19
29005586,14,20
29005586,71,5
29005586,54,70
29005586,16,10
29005586,20,88
29005586,27,8
29005586,95,22
29005586,80,74
29005586,42,66
29005586,46,14
29005586,24,43
29005586,100,7
29005594,92,74
29005594,78,11
29005594,21,7
29005594,87,83
29005594,43,80
29005594,65,42
29005594,100,90
29005594,45,67
29005594,23,93
29005597,5,55
29005597,51,64
29005597,47,8
29005597,17,21
29005597,83,2
29005597,41,89
29005597,38,70
29005597,47,57
29005597,69,75
29005648,14,9
29005648,10,3
29005648,99,31
29005648,87,94
29005648,25,98
29005648,83,52
29005654,11,35
29005654,54,75
29005654,67,67
29005654,20,18
29005654,46,96
29005654,12,27
29005654,99,75
29005654,27,20
29005654,84,40
29005654,12,16
29005654,71,26
29005710,60,86
29005762,59,94
29005762,58,17
29005762,91,89
29005762,48,81
29005762,13,75
29005830,23,56
29005830,44,95
29005830,56,46
29005830,15,15
29005830,3,95
29005863,2,88
29005863,9,0
29005863,13,77
29005863,72,40
29005924,36,94
29005925,45,26
29005925,58,33
29005925,24,14
29005925,82,27
29005925,73,14
29005930,37,50
29005930,98,87
29005930,57,6
29005934,80,67
29005934,97,7
29005934,72,66
29005934,64,66
29005942,14,53
29005942,52,8
29005942,29,55
29005942,6,57
29005942,50,99
29005942,5,50
29005942,73,53
29005942,9,21
29005942,36,55
29005942,86,64
29005942,25,88
29005942,91,77
29005943,49,44
29005943,71,63
29005962,89,44
29005962,62,21
29005962,47,28
29005962,37,63
29005962,53,0
29005962,83,36
29005962,4,3
29005962,92,34
29005962,4,30
29005962,14,37
29005962,42,66
29005962,64,3
29005962,22,96
29005962,74,51
29005962,40,37
29006061,4,3
29006061,3,89
29006061,17,19
29006067,41,31
29006067,7,85
29006127,14,75
29006127,65,50
29006127,32,55
29006127,1,34
29006127,44,86
29006127,36,65
29006127,44,44
29006127,76,89
29006127,17,27
29006127,71,9
29006127,41,9
29006189,96,89
29006189,29,75
29006189,100,93
29006189,45,32
29006189,87,12
29006189,55,14
29006189,73,36
29006189,47,6
29006189,70,85
29006204,21,66
29006204,66,42
29006204,47,80
29006204,24,42
29006204,96,59
29006204,44,16
29006204,8,78
29006204,67,84
29006204,20,65
29006204,48,54
29006204,85,87
29006204,35,78
29006204,7,56
29006204,60,97
29006239,53,55
29006239,78,27
29006264,70,58
29006264,90,97
29006264,87,81
29006264,68,2
29006264,81,35
29006264,88,82
29006264,90,33
29006264,35,88
29006264,3,66
29006264,51,15
29006264,13,81
29006264,84,32
29006264,14,7
29006264,1,9
29006264,34,34
29006264,38,44
29006264,95,1
29006264,24,33
29006303,8,71
29006303,1,48
29006303,2,33
29006303,86,73
29006303,52,60
29006303,84,83
29006303,71,67
29006307,72,99
29006307,18,18
29006307,97,79
29006307,17,71
29006307,94,34
29006307,70,34
29006336,84,41
29006336,5,4
29006336,83,53
29006336,13,86
29006366,57,21
29006366,27,90
29006366,67,12
29006366,48,88
29006366,54,20
29006366,24,35
29006366,54,31
29006366,71,46
29006366,12,24
29006381,95,74
29006381,23,51
29006381,33,5
29006381,64,66
29006381,32,33
29006381,44,28
29006397,100,14
29006397,49,68
29006397,68,31
29006397,41,83
29006397,36,30
29006397,25,98
29006397,95,59
29006397,54,45
29006397,40,76
29006397,71,32
29006397,55,62
29006397,91,1
29006397,50,25
29006397,29,7
29006397,43,25
29006397,49,7
29006397,43,55
29006397,13,11
29006397,74,25
29006397,98,12
29006397,1,15
29006397,19,84
29006397,73,58
29006397,94,19
29006401,23,9
29006401,66,63
29006401,46,18
29006401,54,61
29006401,23,67
29006401,43,72
29006401,91,98
29006410,57,55
29006410,17,84
29006410,81,5
29006410,95,25
29006410,17,74
29006410,8,13
29006410,45,11
29006410,75,83
29006410,97,51
29006410,44,11
29006410,50,81
29006410,31,79
29006410,89,69
29006410,9,7
29006410,46,77
29006412,17,52
29006412,53,23
29006412,89,32
29006412,90,20
29006412,100,23
29006412,81,73
29006412,30,61
29006412,93,40
29006412,43,6
29006412,67,35
29006451,72,36
29006451,57,62
29006451,96,20
29006451,99,97
29006451,99,57
29006464,52,90
29006464,14,90
29006518,67,92
29006518,93,46
29006536,32,35
29006561,73,44
29006609,8,70
29006609,13,77
29006609,99,41
29006609,76,35
29006609,34,16
29006609,9,20
29006609,17,97
29006609,27,43
29006609,98,23
29006609,50,29
29006609,17,25
29006620,6,45
29006620,32,77
29006620,70,81
29006620,9,13
29006620,56,56
29006620,11,54
29006620,30,90
29006620,62,67
29006621,69,43
29006621,54,33
29006621,28,86
29006621,95,67
29006621,18,10
29006621,45,93
29006621,48,2
29006621,42,63
29006621,19,54
29006621,91,30
29006621,59,13
29006621,32,99
29006621,84,47
29006621,46,21
29006621,14,49
29006621,83,16
29006664,25,57
29006664,94,52
29006664,36,62
29006664,47,23
29006664,34,60
29006664,57,16
29006664,4,63
29006664,1,74
29006664,51,10
29006664,37,1
29006664,61,83
29006664,87,15
29006664,67,7
29006670,31,38
29006670,97,75
29006670,11,40
29006670,57,48
29006688,87,55
29006688,76,23
29006688,33,21
29006688,63,7
29006688,91,96
29006688,82,59
29006688,97,32
29006712,19,27
29006712,6,72
29006810,80,29
29006814,48,46
29006814,100,19
29006831,96,50
29006831,79,11
29006838,3,67
29006838,31,13
29006838,1,21
29006838,53,8
29006838,89,76
29006838,51,98
29006838,78,86
29006838,22,14
29006838,57,35
29006857,4,10
29006857,91,77
29006857,11,75
29006857,40,77
29006857,32,84
29006857,41,34
29006857,48,2
29006857,57,80
29006857,14,36
29006857,11,59
29006857,30,8
29006857,2,23
29006857,89,85
29006857,42,16
29006861,40,1
29006861,14,55
29006882,8,12
29006882,11,99
29006968,8,59
29006968,54,19
29006968,57,75
29006968,43,47
29006968,60,12
29006968,57,22
29006968,57,96
29006968,26,32
29006968,87,34
29007103,85,56
29007103,82,98
29007103,25,6
29007103,68,47
29007103,27,84
29007202,84,36
29007202,100,21
29007202,8,34
29007202,44,28
29007202,70,34
29007202,84,100
29007202,84,10
29007202,90,1
29007202,84,63
29007202,27,70
29007202,56,32
29007236,30,3
29007240,95,58
29007240,73,3
29007240,19,28
29007240,72,8
29007240,43,44
29007240,46,34
29007240,94,8
29007240,91,65
29007240,54,68
29007240,12,73
29007240,48,8
29007240,91,73
29007240,68,7
29007240,19,60
29007240,97,38
29007363,2,5
29007363,72,71
29007384,59,42
29007384,23,68
29007384,21,34
29007384,79,9
29007384,43,46
29007384,62,31
29007384,85,16
29007384,31,26
29007384,40,93
29007384,5,59
29007384,6,93
29007384,80,46
29007384,90,70
29007390,34,56
29007390,77,31
29007390,18,2
29007390,69,15
29007390,5,70
29007390,28,32
29007390,30,94
29007390,33,51
29007390,50,13
29007390,67,87
29007390,72,46
29007390,3,81
29007512,23,31
29007512,18,2
29007512,78,6
29007512,21,50
29007512,53,74
29007512,98,57
29007512,80,66
29007512,28,31
29007512,67,40
29007512,49,54
29007519,53,56
29007519,68,5
29007519,83,70
29007527,8,69
29007527,98,52
29007527,87,53
29007527,72,59
29007527,93,59
29007527,69,85
29007527,67,25
29007527,55,2
29007527,91,28
29007527,26,29
29007527,18,45
29007527,91,48
29007527,2,96
29007527,59,56
29007556,99,38
29007556,13,74
29007556,76,8
29007556,44,83
29007556,66,60
29007556,74,78
29007556,79,41
29007556,83,56
29007581,67,53
29007581,11,13
29007581,10,45
29007581,11,41
29007581,94,65
29007581,22,59
29007581,86,82
29007581,22,43
29007581,88,52
29007581,64,68
29007581,100,72
29007626,88,70
29007626,17,13
29007626,39,65
29007626,11,97
29007626,77,27
29007626,10,69
29007626,50,77
29007626,8,96
29007664,28,20
29007664,74,26
29007664,68,40
29007711,55,60
29007711,36,88
29007711,2,78
29007711,52,92
29007711,97,55
29007711,5,50
29007711,31,8
29007711,4,62
29007808,100,65
29007808,26,88
29007877,38,85
29007880,77,57
29007880,92,98
29007886,22,39
29007886,66,5
29007887,95,95
29007887,12,91
29007897,23,75
29007897,92,17
29007897,22,90
29007897,77,96
29007897,26,63
29007897,54,77
29007897,71,3
29007897,92,89
29007897,52,92
29007897,5,26
29007897,41,81
29007897,98,59
29007897,9,99
29007897,60,66
29007901,52,50
29007901,72,84
29007901,14,58
29007901,52,48
29007901,97,72
29007901,63,71
29007901,85,10
29007901,33,6
29007901,31,24
29007901,28,65
29007901,96,35
29007901,23,93
29007904,40,28
29007904,96,5
29007904,39,68
29007904,95,91
29007904,16,18
29007904,89,25
29007904,70,97
29007904,64,63
29007904,74,38
29007904,89,33
29007904,7,12
29007904,33,66
29007907,100,69
29007907,78,56
29007907,5,21
29007907,3,57
29007907,49,69
29007907,21,73
29007907,12,14
29007907,5,22
29007907,27,92
29007908,99,57
29007908,77,43
29007908,32,0
29007908,26,26
29007908,78,21
29007908,70,39
29007908,37,6
29007908,60,35
29007908,43,71
29007908,73,75
29007915,81,39
29007915,52,7
29007920,8,25
29007920,30,63
29007920,29,21
29007920,8,95
29007920,11,50
29007920,12,61
29007920,24,64
29007920,17,20
29007920,59,80
29007920,26,64
29007920,88,39
29007920,1,75
29007920,62,24
29007936,25,57
29007936,55,17
29007956,14,53
29007956,10,37
29007956,16,76
29007956,74,72
29007956,11,12
29007956,75,57
29007980,29,55
29007980,70,84
29007980,72,9
29007980,38,64
29007980,87,9
29007980,76,98
29007980,70,41
29007980,60,58
29007980,8,81
29007980,48,86
29007980,19,49
29007980,96,74
29007980,46,55
29008016,46,16
29008016,72,96
29008016,25,85
29008016,12,18
29008063,95,9
29008063,79,88
29008063,86,98
29008063,20,43
29008069,76,96
29008069,21,51
29008069,21,2
29008069,80,70
29008069,77,38
29008069,18,30
29008069,59,24
29008069,62,60
29008069,49,32
29008069,57,22
29008069,80,91
29008069,97,1
29008069,15,23
29008069,97,35
29008069,3,98
29008069,59,86
29008069,100,28
29008079,44,91
29008079,66,82
29008079,42,21
29008079,69,37
29008079,50,4
29008079,91,8
29008079,79,50
29008079,68,17
29008079,83,95
29008079,16,83
29008079,98,14
29008079,71,42
29008079,77,88
29008079,59,82
29008079,4,84
29008116,80,99
29008116,81,66
29008116,23,84
29008116,49,36
29008116,98,60
29008116,26,43
29008116,86,34
29008116,90,5
29008116,53,40
29008116,96,5
29008116,90,55
29008116,74,33
29008116,27,56
29008116,99,72
29008116,25,23
29008116,77,64
29008116,30,31
29008116,70,53
29008128,15,18
29008128,49,88
29008128,9,29
29008128,36,80
29008128,59,17
29008128,2,5
29008128,50,50
29008128,48,14
29008128,75,31
29008136,12,30
29008147,73,9
29008147,54,99
29008147,16,47
29008147,16,55
29008151,14,34
29008151,55,47
29008151,37,59
29008151,6,76
29008151,81,8
29008151,58,8
29008151,12,95
29008151,60,73
29008151,54,81
29008170,63,73
29008170,100,5
29008170,71,36
29008170,21,56
29008170,2,58
29008170,18,71
29008170,8,36
29008170,87,83
29008170,61,75
29008170,92,45
29008170,71,14
29008170,55,49
29008173,66,83
29008173,19,84
29008173,36,86
29008173,34,5
29008173,92,78
29008173,8,9
29008173,4,18
29008173,38,40
29008173,5,61
29008231,90,99
29008231,99,78
29008231,89,75
29008231,87,4
29008231,19,70
29008233,77,25
29008233,39,33
29008233,54,62
29008233,96,97
29008233,34,8
29008233,44,61
29008233,82,78
29008233,83,19
29008233,37,60
29008233,83,19
29008233,19,68
29008233,4,18
29008233,14,58
29008233,86,98
29008233,89,52
29008233,83,0
29008233,68,68
29008233,26,92
29008233,19,46
29008327,78,36
29008327,18,33
29008349,78,89
29008349,47,66
29008349,39,62
29008349,1,53
29008349,67,62
29008349,87,14
29008349,50,60
29008349,17,22
29008349,52,54
29008349,48,82
29008349,46,39
29008349,21,88
29008350,18,40
29008350,4,79
29008350,1,93
29008350,47,74
29008371,23,47
29008371,87,45
29008371,33,0
29008371,46,42
29008371,5,90
29008371,22,78
29008371,90,41
29008371,32,16
29008371,4,43
29008371,54,83
29008371,62,18
29008371,60,54
29008395,78,44
29008395,13,81
29008395,4,23
29008395,6,80
29008395,6,51
29008395,31,15
29008395,30,63
29008395,90,6
29008395,16,31
29008395,3,19
29008395,35,19
29008395,18,26
29008449,17,44
29008449,70,81
29008449,76,68
29008458,82,17
29008458,46,40
29008458,83,36
29008486,4,5
29008500,30,31
29008500,11,79
29008528,43,2
29008528,11,94
29008528,13,20
29008528,39,28
29008528,56,80
29008528,20,14
29008528,81,91
29008528,5,60
29008528,96,46
29008685,29,46
29008685,71,8
29008685,9,38
29008685,98,39
29008685,24,35
29008685,2,46
29008685,84,93
29008685,73,95
29008685,83,91
29008685,92,24
29008685,67,41
29008685,34,43
29008685,20,8
29008685,7,71
29008685,5,17
29008685,21,46
29008685,38,37
29008685,6,19
29008685,68,69
29008685,36,78
29008685,91,72
29008685,5,42
29008758,11,3
29008758,49,51
29008758,86,31
29008758,65,67
29008758,88,5
29008758,57,51
29008809,70,87
29008809,82,100
29008809,59,52
29008809,23,9
29008809,90,86
29008838,3,28
29008838,87,100
29008838,40,62
29008838,12,8
29008838,41,69
29008838,34,6
29008838,5,71
29008838,91,58
29008861,53,8
29008861,47,2
29008861,20,12
29008861,1,43
29008861,9,60
29008861,88,2
29008861,49,2
29008861,99,64
29008861,41,51
29008861,46,44
29008861,68,38
29008861,76,22
29008861,52,17
29008861,51,20
29008861,48,59
29008861,76,33
29008861,31,95
29008861,45,98
29008861,11,80
29008861,28,11
29008861,80,85
29008861,62,94
29008861,91,21
29008861,44,37
29008861,97,27
29008861,42,75
29008861,87,76
29008861,11,12
29008861,20,98
29008861,92,71
29008861,73,96
29008861,81,16
29008883,78,15
29008883,25,94
29008883,10,37
29008883,93,51
29008883,99,3
29008883,11,68
29008883,63,81
29008883,69,14
29008883,79,47
29008899,88,4
29008899,72,58
29008899,91,88
29008899,74,80
29008899,18,6
29008899,7,47
29008899,17,65
29008899,26,73
29008899,50,68
29008900,18,64
29008900,25,7
29008900,61,38
29008900,26,74
29008911,43,77
29008911,76,5
29008911,51,71
29008911,85,72
29008911,36,22
29008911,68,23
29008911,12,51
29008911,13,55
29008927,23,49
29008927,97,73
29008945,19,15
29008945,82,49
29008945,63,39
29008945,25,30
29008945,100,18
29008945,1,24
29008945,21,36
29008945,27,88
29008945,3,23
29009000,88,45
29009000,68,70
29009000,66,43
29009000,58,73
29009000,86,38
29009000,40,88
29009000,62,11
29009041,78,64
29009041,94,58
29009041,37,7
29009041,66,60
29009041,74,51
29009041,15,82
29009041,15,13
29009041,72,95
29009041,11,9
29009130,44,30
29009130,10,82
29009130,93,94
29009130,91,54
29009130,77,10
29009130,94,69
29009130,88,73
29009130,17,27
29009130,50,42
29009130,50,12
29009148,76,69
29009148,87,9
29009158,20,63
29009158,3,93
29009158,28,11
29009158,7,32
29009158,13,16
29009158,63,19
29009158,63,46
29009158,14,85
29009158,72,88
29009158,76,82
29009158,55,4
29009158,44,53
29009158,92,70
29009196,20,97
29009196,40,99
29009196,56,79
29009196,91,63
29009251,83,57
29009274,65,58
29009274,94,73
29009274,2,69
29009274,69,47
29009274,26,95
29009291,86,16
29009291,87,20
29009291,56,31
29009291,81,88
29009291,70,94
29009291,11,90
29009291,74,61
29009291,43,18
29009300,47,49
29009300,39,89
29009300,23,31
29009300,74,59
29009300,71,5
29009300,84,47
29009300,97,95
29009300,53,16
29009300,97,83
29009300,84,52
29009323,8,76
29009323,58,33
29009329,62,92
29009329,9,16
29009329,35,99
29009329,75,62
29009329,33,75
29009329,17,38
29009329,20,29
29009329,43,82
29009365,88,2
29009365,8,92
29009365,16,19
29009375,63,84
